N	p	queue	avgPacketDelay	stdPacketDelay	avgIOLinkUtilisation	avgOLinkUtilisation	avgDropped	KOUQDropProbability
4	0.25	KOUQ	2.41057	1.14599	0.0206875	0.08275	0	0
5	0.25	KOUQ	2.39904	1.12331	0.01672	0.0836	0	0
6	0.25	KOUQ	2.43848	1.21594	0.0139306	0.0835833	0	0
7	0.25	KOUQ	2.47342	1.23049	0.0120184	0.0841	1.42857e-05	0
8	0.25	KOUQ	2.41988	1.14191	0.0103281	0.0826125	6.25e-06	0
9	0.25	KOUQ	2.44819	1.1844	0.00951975	0.0856778	0	0
10	0.25	KOUQ	2.46087	1.19305	0.008319	0.08319	0	0
11	0.25	KOUQ	2.48123	1.22612	0.00766198	0.0842727	0	0
12	0.25	KOUQ	2.45089	1.18178	0.00702778	0.0843333	0	0
13	0.25	KOUQ	2.44801	1.17509	0.00636805	0.0827769	0	0
14	0.25	KOUQ	2.46515	1.19635	0.00597245	0.0836143	0	0
15	0.25	KOUQ	2.46668	1.2096	0.00558267	0.08374	0	0
16	0.25	KOUQ	2.4588	1.21467	0.00513477	0.0821438	6.25e-06	0
17	0.25	KOUQ	2.46913	1.21329	0.00492249	0.0836588	2.94118e-06	0
18	0.25	KOUQ	2.46046	1.18515	0.00462932	0.0833222	0	0
19	0.25	KOUQ	2.46717	1.2152	0.00440194	0.0836158	7.89474e-06	1.57911e-05
20	0.25	KOUQ	2.47636	1.23273	0.00416825	0.08335	5e-06	0
21	0.25	KOUQ	2.4757	1.23665	0.00398866	0.0837571	0	0
22	0.25	KOUQ	2.48295	1.24664	0.00382376	0.0841136	4.54545e-06	0
23	0.25	KOUQ	2.49171	1.26022	0.00361607	0.0831609	2.17391e-06	0
24	0.25	KOUQ	2.49972	1.27433	0.00347309	0.0833208	1.45833e-05	0
25	0.25	KOUQ	2.48307	1.24916	0.0033272	0.083168	2e-06	0
26	0.25	KOUQ	2.48408	1.23231	0.00322367	0.0838077	3.84615e-06	0
27	0.25	KOUQ	2.48273	1.24	0.00309438	0.0835296	5.55556e-06	0
28	0.25	KOUQ	2.50369	1.27523	0.00299413	0.0838321	1.78571e-06	0
29	0.25	KOUQ	2.4751	1.22387	0.00287075	0.0832414	3.44828e-06	0
30	0.25	KOUQ	2.47468	1.22757	0.00277778	0.08332	3.33333e-06	0
31	0.25	KOUQ	2.47866	1.24311	0.0026898	0.0833774	3.22581e-06	0
32	0.25	KOUQ	2.48676	1.25918	0.00259707	0.0830875	7.8125e-06	9.37594e-06
33	0.25	KOUQ	2.48255	1.25084	0.00252415	0.0832697	1.21212e-05	0
34	0.25	KOUQ	2.48983	1.2513	0.00245995	0.0836176	8.82353e-06	0
35	0.25	KOUQ	2.47413	1.23488	0.00237943	0.0832686	1.42857e-06	0
36	0.25	KOUQ	2.48877	1.25287	0.00230093	0.0828278	1.38889e-06	0
37	0.25	KOUQ	2.47575	1.24704	0.0022683	0.0839189	2.7027e-06	0
38	0.25	KOUQ	2.4814	1.23946	0.00219848	0.0835237	7.89474e-06	0
39	0.25	KOUQ	2.48891	1.25255	0.00212334	0.0827897	6.41026e-06	0
40	0.25	KOUQ	2.47604	1.23228	0.00208694	0.08347	2.5e-06	0
41	0.25	KOUQ	2.49457	1.26939	0.00204848	0.0839756	6.09756e-06	0
42	0.25	KOUQ	2.46744	1.21495	0.00197608	0.0829905	1.19048e-06	0
43	0.25	KOUQ	2.48155	1.23427	0.00193694	0.0832767	3.48837e-06	0
44	0.25	KOUQ	2.50488	1.27822	0.00189638	0.0834318	3.40909e-06	0
45	0.25	KOUQ	2.48975	1.24865	0.00184153	0.0828578	3.33333e-06	0
46	0.25	KOUQ	2.47487	1.22682	0.00181002	0.0832543	1.08696e-06	0
47	0.25	KOUQ	2.4899	1.24512	0.00177922	0.0836085	5.31915e-06	0
48	0.25	KOUQ	2.50712	1.27968	0.00174319	0.0836583	5.20833e-06	0
49	0.25	KOUQ	2.49595	1.27085	0.00170187	0.0833776	5.10204e-06	0
50	0.25	KOUQ	2.49681	1.26699	0.0016608	0.083018	8e-06	0
51	0.25	KOUQ	2.49961	1.26737	0.00163633	0.0834412	4.90196e-06	0
52	0.25	KOUQ	2.49353	1.25559	0.00160429	0.0834058	4.80769e-06	0
53	0.25	KOUQ	2.48355	1.23839	0.00157002	0.0831943	4.71698e-06	0
54	0.25	KOUQ	2.50346	1.27505	0.00155021	0.083687	7.40741e-06	0
55	0.25	KOUQ	2.48476	1.24805	0.0015162	0.0833782	5.45455e-06	0
56	0.25	KOUQ	2.50175	1.26385	0.00148935	0.0833875	4.46429e-06	0
57	0.25	KOUQ	2.49246	1.26177	0.00145509	0.0829246	5.26316e-06	0
58	0.25	KOUQ	2.49739	1.2656	0.00143615	0.0832862	3.44828e-06	0
59	0.25	KOUQ	2.49516	1.26328	0.00140804	0.0830542	1.01695e-05	0
60	0.25	KOUQ	2.49501	1.25806	0.00139622	0.0837667	3.33333e-06	0
61	0.25	KOUQ	2.50537	1.281	0.00136539	0.0832639	7.37705e-06	0
62	0.25	KOUQ	2.48723	1.25149	0.00134095	0.0831226	4.83871e-06	0
63	0.25	KOUQ	2.48985	1.25622	0.00133028	0.0837873	7.14286e-06	0
64	0.25	KOUQ	2.50409	1.28017	0.00130681	0.0836344	0	0
65	0.25	KOUQ	2.48904	1.25782	0.00128133	0.0832769	3.07692e-06	0
66	0.25	KOUQ	2.49212	1.25267	0.00125957	0.0831197	4.54545e-06	0
67	0.25	KOUQ	2.48606	1.24633	0.00124143	0.0831672	2.23881e-06	0
68	0.25	KOUQ	2.48834	1.26035	0.00121869	0.0828618	4.41176e-06	0
69	0.25	KOUQ	2.48481	1.25028	0.00120653	0.0832333	7.97101e-06	0
70	0.25	KOUQ	2.49859	1.2647	0.001192	0.08343	2.85714e-06	0
71	0.25	KOUQ	2.47831	1.2327	0.00117596	0.0834803	4.92958e-06	0
72	0.25	KOUQ	2.48658	1.2406	0.00115575	0.0832	6.25e-06	0
73	0.25	KOUQ	2.49101	1.24869	0.00114258	0.0833959	4.10959e-06	0
74	0.25	KOUQ	2.49211	1.25184	0.00112469	0.0832135	4.72973e-06	0
75	0.25	KOUQ	2.48581	1.25124	0.00111019	0.0832587	2.66667e-06	0
76	0.25	KOUQ	2.50071	1.27411	0.00109446	0.0831632	7.23684e-06	0
77	0.25	KOUQ	2.49715	1.26287	0.00108529	0.0835571	3.24675e-06	0
78	0.25	KOUQ	2.48797	1.25287	0.00106958	0.0834141	5.12821e-06	0
79	0.25	KOUQ	2.48992	1.25404	0.00105158	0.083062	4.43038e-06	0
80	0.25	KOUQ	2.47765	1.22984	0.00103295	0.0826237	4.375e-06	0
81	0.25	KOUQ	2.48367	1.24638	0.00102609	0.0831	4.93827e-06	0
82	0.25	KOUQ	2.49561	1.25573	0.00102344	0.0839024	5.4878e-06	0
83	0.25	KOUQ	2.49662	1.26348	0.00100116	0.0830867	4.21687e-06	0
84	0.25	KOUQ	2.48423	1.24354	0.000995833	0.0836452	2.38095e-06	0
85	0.25	KOUQ	2.50537	1.28805	0.000985176	0.0837224	7.64706e-06	0
86	0.25	KOUQ	2.49675	1.26987	0.000968875	0.083307	6.39535e-06	0
87	0.25	KOUQ	2.49285	1.26228	0.000959612	0.0834621	8.04598e-06	0
88	0.25	KOUQ	2.49044	1.2472	0.000950039	0.0835932	3.40909e-06	0
89	0.25	KOUQ	2.49874	1.26359	0.000933455	0.0830573	1.01124e-05	3.37112e-06
90	0.25	KOUQ	2.49299	1.25624	0.000929358	0.0836333	2.77778e-06	0
91	0.25	KOUQ	2.48765	1.25502	0.000915143	0.083267	3.84615e-06	0
92	0.25	KOUQ	2.49251	1.25933	0.000906675	0.0834033	3.26087e-06	0
93	0.25	KOUQ	2.49224	1.26638	0.000893467	0.0830699	8.60215e-06	0
94	0.25	KOUQ	2.49309	1.26462	0.000885367	0.0832096	4.25532e-06	0
95	0.25	KOUQ	2.49679	1.2702	0.000876576	0.0832526	9.47368e-06	0
96	0.25	KOUQ	2.4874	1.24755	0.000867958	0.0833062	6.77083e-06	0
97	0.25	KOUQ	2.50554	1.27898	0.000856223	0.0830423	4.12371e-06	0
98	0.25	KOUQ	2.48874	1.24189	0.000848199	0.0831102	4.59184e-06	0
99	0.25	KOUQ	2.49166	1.25856	0.000840067	0.0831505	5.55556e-06	0
100	0.25	KOUQ	2.48535	1.24496	0.00083223	0.083216	1.5e-06	0
